taxon,min_yr,max_yr,subfamily,tribe,genus,Amber Locale,Reference
Pachycondyla_oligocenica,33.9,38,Ponerinae,,Pachycondyla,Bolshaya Svetlovodnaya,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152"
Pachycondyla_parvula,40.4,48.6,Ponerinae,,Pachycondyla,Bolshaya Svetlovodnaya,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152"
Paraneuretus_dubovikoffi,33.9,38,Aneuretinae,,Paraneuretus,Bolshaya Svetlovodnaya,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152"
Proceratium_petrosum,33.9,38,Proceratiinae,Proceratiini,Proceratium,Bolshaya Svetlovodnaya,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152"
Ypresiomyrma_orientalis,33.9,38,Myrmeciinae,,Ypresiomyrma,Bolshaya Svetlovodnaya,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152"
Cataulacus_plebeius,15.97,20.44,Myrmicinae,Crematogastrini,Cataulacus,Borneo,"M. L. de Andrade and C. Baroni Urbani. 2004. First record of ants from Borneo amber (Hymenoptera, Formicidae). Mitteilungen der Schweizerischen Entomologischen Gesselschaft 77:247-250"
Afromyrma_petrosa,89.8,93.9,Myrmicinae,,Afromyrma,Botswanna,"G. M. Dlussky, D. J. Brothers, and A. P. Rasnitsyn. 2004. The first Late Cretaceous ants (Hymenoptera: Formicidae) from southern Africa, with comments on the origin of the Myrmicinae. Insect Systematics & Evolution 35:1-13"
Afropone_oculata,89.8,93.9,Ponerinae,,Afropone,Botswanna,"G. M. Dlussky, D. J. Brothers, and A. P. Rasnitsyn. 2004. The first Late Cretaceous ants (Hymenoptera: Formicidae) from southern Africa, with comments on the origin of the Myrmicinae. Insect Systematics & Evolution 35:1-13"
Afropone_orapa,89.8,93.9,Ponerinae,,Afropone,Botswanna,"G. M. Dlussky, D. J. Brothers, and A. P. Rasnitsyn. 2004. The first Late Cretaceous ants (Hymenoptera: Formicidae) from southern Africa, with comments on the origin of the Myrmicinae. Insect Systematics & Evolution 35:1-13"
Fonsecahymen_stigmata,33.9,38,,,Fonsecahymen,Brazil,"R. G. Martins-Neto and M. Mendes. 2002. The Fonseca Formation paleoentomofauna (Fonseca Basin, Oligocene of Minas Gerais state, Brazil) with description of new taxa. Acta Geologica Leopoldensia 25(55):27-33"
Haidomyrmex_cerberus,93.5,99.6,Sphecomyrminae,Haidomyrmecini,Haidomyrmex,Burma,"Barden, P.; Grimaldi, D. 2012. Rediscovery of the bizarre Cretaceous ant Haidomyrmex Dlussky (Hymenoptera: Formicidae), with two new species. American Museum Novitates 3755:1-16. PDF"
Haidomyrmex_scimitarus,93.5,99.6,Sphecomyrminae,Haidomyrmecini,Haidomyrmex,Burma,"Barden, P.; Grimaldi, D. 2012. Rediscovery of the bizarre Cretaceous ant Haidomyrmex Dlussky (Hymenoptera: Formicidae), with two new species. American Museum Novitates 3755:1-16. PDF"
Haidomyrmex_zigrasi,93.5,99.6,Sphecomyrminae,Haidomyrmecini,Haidomyrmex,Burma,"Barden, P.; Grimaldi, D. 2012. Rediscovery of the bizarre Cretaceous ant Haidomyrmex Dlussky (Hymenoptera: Formicidae), with two new species. American Museum Novitates 3755:1-16. PDF"
Zigrasimecia_tonsora,93.5,99.6,Sphecomyrminae,Zigrasimeciini,Zigrasimecia,Burma,P. Barden and D. Grimaldi. 2013. A new genus of highly specialized ants in Cretaceous Burmese amber (Hymenoptera: Formicidae). Zootaxa 3681:405-412
Dolichoderus_obliteratus,23.03,33.9,Dolichoderinae,,Dolichoderus,Canada,S. H. Scudder. 1877. The insects of the Tertiary beds at Quesnel (British Colombia). Report of Progress of the Geological Survey of Canada 1875-1876 266-280
Formica_arcana,23.03,33.9,Formicinae,Formicini,Formica,Canada,"Carpenter, F. M. 1930. The fossil ants of North America. Bull. Mus. Comp. Zool. 70: 1-66"
Canapone_dentata,70.6,83.5,Ectatomminae,,Canapone,Canada,"G. M. Dlussky. 1999. New ants (Hymenoptera, Formicidae) from Canadian amber. Paleontological Journal 33(4):409-412"
Eotapinoma_macalpini,70.6,83.5,Dolichoderinae,,Eotapinoma,Canada,"G. M. Dlussky. 1999. New ants (Hymenoptera, Formicidae) from Canadian amber. Paleontological Journal 33(4):409-412"
Cananeuretus_occidentalis,70.6,83.5,Aneuretinae,,Cananeuretus,Canada,"M. S. Engel and D. A. Grimaldi. 2005. Primitive New Ants in Cretaceous Amber from Myanmar, New Jersey, and Canada (Hymenoptera: Formicidae). American Museum Novitates 3485:1-24"
Avitomyrmex_elongatus,47.8,56,Myrmeciinae,,Avitomyrmex,Canada,"S. B. Archibald, S. P. Cover, and C. S. Moreau. 2006. Bulldog Ants of the Eocene Okanagan Highlands and History of the Subfamily (Hymenoptera: Formicidae: Myrmeciinae). Annals of the Entomological Society of America 99(3):487-523"
Avitomyrmex_mastax,47.8,56,Myrmeciinae,,Avitomyrmex,Canada,"S. B. Archibald, S. P. Cover, and C. S. Moreau. 2006. Bulldog Ants of the Eocene Okanagan Highlands and History of the Subfamily (Hymenoptera: Formicidae: Myrmeciinae). Annals of the Entomological Society of America 99(3):487-523"
Avitomyrmex_systenus,47.8,56,Myrmeciinae,,Avitomyrmex,Canada,"S. B. Archibald, S. P. Cover, and C. S. Moreau. 2006. Bulldog Ants of the Eocene Okanagan Highlands and History of the Subfamily (Hymenoptera: Formicidae: Myrmeciinae). Annals of the Entomological Society of America 99(3):487-523"
Macabeemyrma_ovata,47.8,56,Myrmeciinae,,Macabeemyrma,Canada,"S. B. Archibald, S. P. Cover, and C. S. Moreau. 2006. Bulldog Ants of the Eocene Okanagan Highlands and History of the Subfamily (Hymenoptera: Formicidae: Myrmeciinae). Annals of the Entomological Society of America 99(3):487-523"
Myrmeciites,47.8,56,Myrmeciinae,,,Canada,"S. B. Archibald, S. P. Cover, and C. S. Moreau. 2006. Bulldog Ants of the Eocene Okanagan Highlands and History of the Subfamily (Hymenoptera: Formicidae: Myrmeciinae). Annals of the Entomological Society of America 99(3):487-523"
Myrmeciites_goliath,47.8,56,Myrmeciinae,Collective group name (page does not exist),Myrmeciites,Canada,"S. B. Archibald, S. P. Cover, and C. S. Moreau. 2006. Bulldog Ants of the Eocene Okanagan Highlands and History of the Subfamily (Hymenoptera: Formicidae: Myrmeciinae). Annals of the Entomological Society of America 99(3):487-523"
Myrmeciites_herculeanus,47.8,56,Myrmeciinae,Collective group name (page does not exist),Myrmeciites,Canada,"S. B. Archibald, S. P. Cover, and C. S. Moreau. 2006. Bulldog Ants of the Eocene Okanagan Highlands and History of the Subfamily (Hymenoptera: Formicidae: Myrmeciinae). Annals of the Entomological Society of America 99(3):487-523"
Myrmeciites_tabanifluviensis,47.8,56,Myrmeciinae,Collective group name (page does not exist),Myrmeciites,Canada,"S. B. Archibald, S. P. Cover, and C. S. Moreau. 2006. Bulldog Ants of the Eocene Okanagan Highlands and History of the Subfamily (Hymenoptera: Formicidae: Myrmeciinae). Annals of the Entomological Society of America 99(3):487-523"
Ypresiomyrma_bartletti,47.8,56,Myrmeciinae,,Ypresiomyrma,Canada,"S. B. Archibald, S. P. Cover, and C. S. Moreau. 2006. Bulldog Ants of the Eocene Okanagan Highlands and History of the Subfamily (Hymenoptera: Formicidae: Myrmeciinae). Annals of the Entomological Society of America 99(3):487-523"
Ypresiomyrma_rebekkae,47.8,56,Myrmeciinae,,Ypresiomyrma,Canada,"S. B. Archibald, S. P. Cover, and C. S. Moreau. 2006. Bulldog Ants of the Eocene Okanagan Highlands and History of the Subfamily (Hymenoptera: Formicidae: Myrmeciinae). Annals of the Entomological Society of America 99(3):487-523"
Calyptites_antediluvianum,23.03,33.9,,,Calyptites,Canada,S. H. Scudder. 1877. The insects of the Tertiary beds at Quesnel (British Colombia). Report of Progress of the Geological Survey of Canada 1875-1876 266-280
Archimyrmex_rostratus,46.2,50.3,Myrmeciinae,,Archimyrmex,Colorado,"G. M. Dlussky. 2012. New fossil ants of the subfamily Myrmeciinae (Hymenoptera, Formicidae) from Germany. Paleontological Journal 46:288-292	German"
Eulithomyrmex_rugosus,33.9,37.2,Agroecomyrmecinae,,Eulithomyrmex,Colorado,"Carpenter, F. M. 1935. A new name for Lithomyrmex Carp. (Hymenoptera). Psyche (Camb.) 42: 91"
Aphaenogaster_donisthorpei,33.9,37.2,Myrmicinae,Stenammini,Aphaenogaster,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Aphaenogaster_mayri,33.9,37.2,Myrmicinae,Stenammini,Aphaenogaster,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Archiponera_wheeleri,33.9,37.2,Ponerinae,Ponerini,Archiponera,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Camponotus_fuscipennis,33.9,37.2,Formicinae,Camponotini,Camponotus,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Camponotus_microcephalus,33.9,37.2,Formicinae,Camponotini,Camponotus,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Camponotus_petrifactus,33.9,37.2,Formicinae,Camponotini,Camponotus,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Cephalomyrmex_rotundatus,33.9,37.2,Myrmicinae,,Cephalomyrmex,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Dolichoderus_antiquus,33.9,37.2,Dolichoderinae,,Dolichoderus,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Dolichoderus_rohweri,33.9,37.2,Dolichoderinae,,Dolichoderus,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Elaeomyrmex_coloradensis,33.9,37.2,Dolichoderinae,,Elaeomyrmex,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Elaeomyrmex_gracilis,33.9,37.2,Dolichoderinae,,Elaeomyrmex,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Formica_cockerelli,33.9,37.2,Formicinae,Formicini,Formica,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Formica_grandis,33.9,37.2,Formicinae,Formicini,Formica,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Formica_robusta,33.9,37.2,Formicinae,Formicini,Formica,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Iridomyrmex,33.9,37.2,Dolichoderinae,Leptomyrmecini,,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Liometopum_miocenicum,33.9,37.2,Dolichoderinae,,Liometopum,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Liometopum_scudderi,33.9,37.2,Dolichoderinae,,Liometopum,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Messor_sculpturatus,33.9,37.2,Myrmicinae,Stenammini,Messor,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Mianeuretus_mirabilis,33.9,37.2,Aneuretinae,,Mianeuretus,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Miomyrmex_impactus,33.9,37.2,Dolichoderinae,,Miomyrmex,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Miomyrmex_striatus,33.9,37.2,Dolichoderinae,,Miomyrmex,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Petraeomyrmex_minimus,33.9,37.2,Dolichoderinae,,Petraeomyrmex,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Pheidole_tertiaria,33.9,37.2,Myrmicinae,Attini,Pheidole,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Pogonomyrmex_fossilis,33.9,37.2,Myrmicinae,Pogonomyrmecini,Pogonomyrmex,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Protazteca_capitata,33.9,37.2,Dolichoderinae,,Protazteca,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Protazteca_elongata,33.9,37.2,Dolichoderinae,,Protazteca,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Protazteca_quadrata,33.9,37.2,Dolichoderinae,,Protazteca,Colorado,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Paraphaenogaster_tertiaria,11.608,12.7,Myrmicinae,Stenammini,Paraphaenogaster,Croatia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Lasius_anthracinus,11.608,12.7,Formicinae,Lasiini,Lasius,Croatia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Lasius_globularis,11.608,12.7,Formicinae,Lasiini,Lasius,Croatia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Lasius_longaevus,11.608,12.7,Formicinae,Lasiini,Lasius,Croatia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Lasius_longipennis,11.608,12.7,Formicinae,Lasiini,Lasius,Croatia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Lasius_occultatus,11.608,12.7,Formicinae,Lasiini,Lasius,Croatia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Lasius_ophthalmicus,11.608,12.7,Formicinae,Lasiini,Lasius,Croatia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Lasius_tertiarius,11.608,12.7,Formicinae,Lasiini,Lasius,Croatia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Gesomyrmex_bremii,11.608,12.7,Formicinae,Gesomyrmecini,Gesomyrmex,Croatia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Heeridris_croaticus,11.608,12.7,,,,Croatia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Liometopum_imhoffii,11.608,12.7,Dolichoderinae,,Liometopum,Croatia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Myrmecites_latus,11.608,12.7,Myrmicinae,,Myrmecites,Croatia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Myrmecites_pusillus,11.608,12.7,Myrmicinae,,Myrmecites,Croatia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Paraphaenogaster_jurinei,11.608,12.7,Myrmicinae,Stenammini,Paraphaenogaster,Croatia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Ponerites_atavinus,11.608,12.7,Ponerinae,Ponerini,Ponerites,Croatia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Ponerites_elongatus,11.608,12.7,Ponerinae,Ponerini,Ponerites,Croatia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Ponerites_gracilior,11.608,12.7,Ponerinae,Ponerini,Ponerites,Croatia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Ponerites_nitidus,11.608,12.7,Ponerinae,Ponerini,Ponerites,Croatia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Ponerites_oblongiceps,11.608,12.7,Ponerinae,Ponerini,Ponerites,Croatia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Ponerites_tenuis,11.608,12.7,Ponerinae,Ponerini,Ponerites,Croatia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Ponerites_umbrus,11.608,15.97,Ponerinae,Ponerini,Ponerites,Croatia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Camponotus,11.608,12.7,Formicinae,Camponotini,,Croatia,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp."
Camponotus_heracleus,11.608,12.7,Formicinae,Camponotini,Camponotus,Croatia,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp."
Camponotus_induratus,11.608,12.7,Formicinae,Camponotini,Camponotus,Croatia,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp."
Camponotus_lignitus,11.608,12.7,Formicinae,Camponotini,Camponotus,Croatia,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp."
Camponotus_pinguiculus,11.608,12.7,Formicinae,Camponotini,Camponotus,Croatia,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp."
Carebara_rugiceps,11.608,12.7,Myrmicinae,Crematogastrini,Carebara,Croatia,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp."
Cephites_fragilis,11.608,12.7,,,,Croatia,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp."
Cephites_oeningensis,11.608,12.7,,,,Croatia,"Heer, O. 1849. Die Insektenfauna der Tertiärgebilde von Oeningen und von Radoboj in Croatien. Zweiter Theil: Heuschrecken, Florfliegen, Aderflüger, Schmetterlinge und Fliegen. Leipzig: W. Engelmann, vi + 264 pp."
Lonchomyrmex_freyeri,11.608,12.7,Myrmicinae,Crematogastrini,Lonchomyrmex,Croatia,Heer. 1867. Fossile Hymenopteren aus Oeningen und Radoboj. Neue Denkschriften der Allgemeinen Schweizerischen Gesellschaft für die Gesammten Naturwissenschaften 22:1-42
Odontomachus_paleomyagra,16.9,20,Ponerinae,Ponerini,Odontomachus,Croatia,"Wappler, T., Dlussky, G.M., Engel, M.S., Prokop, J. & Knor, S. 2014. A new trap-jaw ant species of the genus Odontomachus (Hymenoptera: Formicidae: Ponerinae) from the Early Miocene (Burdigalian) of the Czech Republic. Paläontologische Zeitschrift, 88, 495–502."
Dolichoderus_kutschlinicus,33.9,37.2,Dolichoderinae,,Dolichoderus,Czech,"Dalla Torre, K. W. von. 1893. Catalogus Hymenopterorum hucusque descriptorum systematicus et synonymicus. Vol. 7. Formicidae (Heterogyna). Leipzig: W. Engelmann, 289 pp. (page 159, Combination in Dolichoderus)"
Dolichoderus_vectensis,33.9,38,Dolichoderinae,,Dolichoderus,Czech,"Dalla Torre, K. W. von. 1893. Catalogus Hymenopterorum hucusque descriptorum systematicus et synonymicus. Vol. 7. Formicidae (Heterogyna). Leipzig: W. Engelmann, 289 pp. (page 159, Combination in Dolichoderus)"
Fallomyrma_transversa,33.9,38,Myrmicinae,,Fallomyrma,Danish,"Dlussky, G. M. and A. Radchenko. 2006. Fallomyrma gen. nov., a new myrmicine ant genus (Hymenoptera: Formicidae) from the late Eocene European amber. Annales Zoologici 56(1): 153-157"
Usomyrma_mirabilis,33.9,38,Dolichoderinae,Leptomyrmecini,Usomyrma,Danish,"Dlussky, G., Radchenko, A. & Dubovikoff, D. 2014. A new enigmatic ant genus from late Eocene Danish Amber and its evolutionary and zoogeographic significance. Acta Palaeontologica Polonica, 59: 931–939."
Pristomyrmex_rasnitsyni,33.9,38,Myrmicinae,Crematogastrini,Pristomyrmex,Danish,"Full reference: G. M. Dlussky and A. G. Radchenko. 2011. Pristomyrmex rasnitsyni sp. n., the first known fossil species of the ant genus Pristomyrmex Mayr (Hymenoptera: Formicidae) from the Late Eocene Danish amber. Russian Entomological Journal 20:251-254"
Trachymyrmex_primaevus,13.82,20.44,Myrmicinae,Attini,Trachymyrmex,Dominican,"Baroni Urbani, C. 1980b. First description of fossil gardening ants. (Amber Collection Stuttgart and Natural History Museum Basel; Hymenoptera: Formicidae. I: Attini). Stuttg. Beitr. Naturkd. Ser. B (Geol. Paläontol.) 54: 1-13"
Proceratium_denticulatum,13.82,20.44,Proceratiinae,Proceratiini,Proceratium,Dominican,"Baroni Urbani, C., de Andrade, M.L. 2003. The ant genus Proceratium in the extant and fossil record (Hymenoptera: Formicidae). Museo Regionale di Scienze Naturali, Monografie, 36, 1–492."
Proceratium_gibberum,13.82,20.44,Proceratiinae,Proceratiini,Proceratium,Dominican,"Baroni Urbani, C., de Andrade, M.L. 2003. The ant genus Proceratium in the extant and fossil record (Hymenoptera: Formicidae). Museo Regionale di Scienze Naturali, Monografie, 36, 1–492."
Proceratium_dominicanum,13.82,20.44,Proceratiinae,Proceratiini,Proceratium,Dominican,"C. Baroni Urbani and M. L. de Andrade. 2003. The ant genus Proceratium in the extant and fossil record (Hymenoptera: Formicidae). Museo Regionale di Scienze Naturali - Torino, Monografie 36:1-480"
Anochetus_corayi,13.82,20.44,Ponerinae,Ponerini,Anochetus,Dominican,"C. Baroni Urbani. 1980. Anochetus corayi n. sp., the first fossil Odontomachiti ant (amber collection Stuttgart: Hymenoptera, Formicidae. II: Odontomachiti). Stuttgarter Beiträge zur Naturkunde Serie B (Geologie und Paläontologie) 55:1-6"
Gnamptogenys_levinates,13.82,20.44,Ectatomminae,Ectatommini,Gnamptogenys,Dominican,"C. Baroni Urbani. 1980. The Ant Genus Gnamptogenys in Dominican Amber (Amber Collection Stuttgart: Hymenoptera, Formicidae. IV: Ectatommini). Stuttgarter Beiträge zur Naturkunde Serie B (Geologie und Paläontologie) 67:1-10"
Gnamptogenys_pristina,13.82,20.44,Ectatomminae,Ectatommini,Gnamptogenys,Dominican,"C. Baroni Urbani. 1980. The Ant Genus Gnamptogenys in Dominican Amber (Amber Collection Stuttgart: Hymenoptera, Formicidae. IV: Ectatommini). Stuttgarter Beiträge zur Naturkunde Serie B (Geologie und Paläontologie) 67:1-10"
Leptomyrmex_neotropicus,13.82,20.44,Dolichoderinae,,Leptomyrmex,Dominican,"C. Baroni Urbani. 1980. The first fossil species of the Australian ant genus Leptomyrmex in amber from the Dominican Republic (Amber collection Stuttgart: Hymenoptera, Formicidae. III: Leptomyrmicini)."
