#NEXUS
Begin data;
	DIMENSIONS NTAX=703  NCHAR=1;
  Format datatype=Continuous missing=? gap=-;
	MATRIX
Camelomecia_janovitzi	3.93020970819387
Gerontoformica_pilosus	4.12925152968908
Nylanderia_terricola	-2.19230107048966
Nylanderia_sp_PER02	-1.15362244583134
Nylanderia_sp_GUY02	-0.852603619495909
Camponotus_conithorax	1.58961339135316
Cataglyphis_iberica	2.38733663996366
Nylanderia_sp_MAD01	0.564410713579375
Notostigma_carazzii	0.635758939160798
Nylanderia_sp_DMR01	-0.358504358358124
Myrmoteras_iriodum	-1.50336933184511
Nylanderia_sp_CHR01	3.16765287306793
Calomyrmex_albertisi	-1.26722659717065
Paraparatrechina_sp_PHL02	-0.704458019931382
Opisthopsis_sp	-4.53839209903397
Euprenolepis_wittei	0.103975024099319
Camponotus_maritimus	-2.89220849001331
Myrmelachista_sp	-3.84568534238668
Nylanderia_parvula	-3.88367471309005
Paraparatrechina_sp_PHL01	-5.75831642471541
Myrmoteras_williamsi	-4.51581824823177
Nylanderia_phantasma	-3.1410221674698
Nylanderia_dodo	-4.1184563126172
Nylanderia_cf_vagaB	-4.95101705999143
Nylanderia_hystrix	-1.41180594073847
Prenolepis_imparis	-1.59946882083102
Myrmecocystus_mexicanus	-2.18651703919878
Lasius_latipes	-1.49153652468076
Melophorus_sp	-1.71407537314151
Paraparatrechina_weissi	-0.5127515730207
Brachymyrmex_depilis	-8.5181312077133
Nylanderia_vividula_a	-6.27732109026259
Nylanderia_amblyops_a	-7.77422577845995
Notoncus_capitatus	-6.20655243462377
Nylanderia_cf_pubens	-4.61594273739292
Nylanderia_sp_GUY01	-5.02918731191784
Myrmelachista_JTL01	-9.68808346080003
Paratrechina_longicornis	-4.87019046661683
Nylanderia_sp_PER01	-4.80990095126421
Prenolepis_nitens	-9.54933671755319
Brachymyrmex_sp	-9.93593514376242
Polyrhachis_Hagio01	-7.53553226468545
Prenolepis_sp_PHL01	-7.93773244212622
Nylanderia_sp_GUY03	-5.42229003242501
Nylanderia_faisonensis	-7.51533725614053
Paraparatrechina_cf_oceanica	-3.33413405947632
Nylanderia_vitiensis	-7.24702229931255
Paraparatrechina_glabra	-8.71727459480521
Polyrhachis_Cyrto01	-2.68741500529554
Plagiolepis_sp	-4.61822643108685
Formica_wheeleri	-2.91354487004351
Lasius_alienus	-4.74091992432316
Polyrhachis_cf_vindex	-11.4396207580152
Nylanderia_cf_madagascarensis	-2.75310878713084
Proformica_nasuta	-9.25303384284863
Myrmelachista_flavocotea	-7.88234693902432
Anoplolepis_gracilipes_Sc	-10.9028457863475
Nylanderia_sp_FIJ01	-8.13343428239168
Nylanderia_wojciki	-7.43007859330777
Camponotus_BCA01	-6.72817529478624
Pseudolasius_sp_PHL01	-6.68099056525928
Zatania_albimaculata	-7.93246074318029
Acropyga_epedana	-7.73083274786412
Paraparatrechina_sp_PHL03	-2.72584860926662
Zatania_gloriosa	-2.03425210823191
Nylanderia_cf_bourbonica	-5.31065529130125
Nylanderia_concinna	-7.99794200616716
Prolasius_sp	-8.6734697914628
Oecophylla_smaragdina	-7.79442585474134
Acropyga_acutiventris	-5.22014426265776
Notoncus_sp	-4.58574835884041
Polyergus_breviceps	-3.86225413690606
Pseudolasius_australis	6.40419043716169
Lasius_californicus	4.29211609930844
Formica_moki	4.11812517285603
Camponotus_hyatti	3.85996840632441
Stigmacros_sp	7.23100192116003
Pseudolasius_typhlops	2.94383146198469
Camponotus_ocreatus	2.70586325289757
Myrmecorhynchus_sp	2.76437775765716
Myrmecocystus_flaviceps	2.41774301681448
Opisthopsis_respiciens	2.49956104608025
Euprenolepis_procera	-0.043616648405022
Brownimecia_clavata	16.047744363756
Proceratium_MAD08	9.60590851350694
Discothyrea_MAD07	8.2257324040271
Proceratium_sp1	24.4457907158626
Proceratium_stictum	22.3453349508512
Discothyrea_sp	23.0777263282366
Probolomyrmex_sp	18.0730674765735
Probolomyrmex_tani	18.5531289638195
Crematogaster_emeryana	12.6870108444101
Megalomyrmex_silvestrii	7.14412972896181
Tetramorium_taylori	1.20870463958331
Mayriella_ebbei	6.48925667902245
Ochetomyrmex_semipolitus	7.31336732288596
Trichomyrmex_oscaris	8.05103730280423
Dacetinops_ignotus_cf	6.13175409818091
Strumigenys_erynnes	6.67343846570777
Strumigenys_coveri	13.0746365287196
Tranopelta_gilva	10.5781776599695
Oxyopomyrmex_insularis	8.46191560012311
Tetheamyrma_subspongia	11.7442487806742
Cardiocondyla_mauritanica	13.1836882417302
Terataner_bottegoi	10.0285145548365
Stenamma_striatulum	6.12362211245754
Terataner_MG27	5.2225048322941
Tyrannomyrmex_legatus	5.90329815144363
Strumigenys_chiricahua	5.96519686454035
Aphaenogaster_albisetosa	13.7285575840275
Acromyrmex_versicolor	14.3466462326915
Myrmica_incompleta	15.2766435854559
Rogeria_stigmatica	15.1568199595126
Blepharidatta_conops	13.4498548886774
Solenopsis_succinea	17.9472893892946
Cyphomyrmex_cornutus	11.6159808271167
Adelomyrmex_SC01	11.5349087993538
Pheidole_hyatti	16.3763265714443
Myrmica_rugiventris	11.3541114680216
Mayriella_transfuga	14.3697261736696
Monomorium_fieldi_nr	13.115053911099
Cyphomyrmex_longiscapus_cf	12.7863864367732
Strumigenys_membranifera	13.6575099290739
Pristomyrmex_punctatus	14.5531363158602
Myrmecina_americana	16.5075785151882
Royidris_notorthotenes	16.9264320385955
Monomorium_pharaonis	17.0071165969978
Oxyopomyrmex_santschii	16.28447393086
Strumigenys_dicomas	15.2607311540632
Talaridris_mandibularis	15.6405371469767
Solenopsis_fugax	19.8016861022213
Nesomyrmex_MG08	15.7897508745826
Formicoxenus_diversipilosus	18.668423485587
Strumigenys_nitens	12.4348704323035
Tetramorium_severini	19.8892815956435
Carebara_AU01	15.7065055055422
Strumigenys_sp	16.9278444857762
Lophomyrmex_ambiguus	13.8523841693023
Trachymyrmex_jamaicensis	11.9407636609149
Austromorium_flavigaster	13.9287767557217
Rotastruma_recava	18.7998187872475
Cataulacus_hispidulus	14.1594459808285
Anillomyrma_AFRC_TZ_01	15.5099746930182
Melissotarsus_insularis	18.1547023483005
Podomyrma_sp	18.0159047846435
Terataner_sp	17.4079198551873
Strumigenys_exiguaevitae	15.1506663008205
Pilotrochus_besmerus	14.3797566821552
Tetramorium_atratulum	17.2352158814756
Monomorium_ergatogyna	15.3736027818608
Pheidole_dispar	18.108037450091
Syllophopsis_ferodens	20.3376492653942
Strumigenys_ludovici	18.3404114616413
Cyphoidris_exalta	20.5488593208197
Secostruma_MY01	20.8971244026067
Strumigenys_chyzeri	21.4519526998547
Goniomma_hispanicum	21.8138314135545
Nesomyrmex_madecassus	5.26855892076317
Colobostruma_unicorna	8.10520173829039
Strumigenys_olsoni	6.33163495456014
Monomorium_madecassum	9.46571872658641
Recurvidris_TH01	9.38634404630224
Solenopsis_invicta	11.2428500151983
Pheidole_longispinosa	7.95146207669545
Eurhopalothrix_gravis	11.2140247845442
Aphaenogaster_texana	2.55786755147441
Poecilomyrma_myrmecodiae	12.5125256332691
Tetramorium_hispidum	14.1067898063616
Rotastruma_stenoceps	13.6049277376268
Manica_rubida	16.9293331457328
Strumigenys_emmae	16.5172947058511
Solenopsis_PA01	15.5704906197234
Myrmecina_graminicola	17.0447947390471
Tetramorium_venator	12.604353495187
Carebara_urichi	8.97518314918566
Ocymyrmex_fortior_cf	19.5845718372974
Myrmecina_PG01	20.4916682856652
Eutetramorium_mocquerysi	19.1098240359761
Mycocepurus_goeldii	18.7236807186014
Temnothorax_kutteri	18.2185074283461
Nothomyrmecia_macrops	17.8833691041088
Allomerus_octoarticulatus	24.9010428792162
Pogonomyrmex_vermiculatus	23.661253672507
Dicroaspis_KM01	16.9596592454456
Eutetramorium_sp	7.29146109495448
Carebara_sp_3	10.6588475995585
Oxyepoecus_vezenyii	12.0611995983477
Aphaenogaster_swammerdami	15.1646781335749
Carebara_sp_2	14.713292954011
Procryptocerus_batesi	13.2734748377134
Tetramorium_MG125	10.783918856837
Kempfidris_inusuale	11.9868874181165
Eurhopalothrix_bolaui	7.77227041621914
Formicoxenus_provancheri	11.8865424698449
Atta_sp	15.4859739085583
Myrmicocrypta_infuscata_cf	5.88641590980297
Solenopsis_molesta	10.7375672749371
Tetramorium_CF01	7.62959472524369
Gauromyrmex_acanthinus	8.2794772373459
Hylomyrma_blandiens	6.0244733068012
Pristomyrmex_sp	5.81660500109642
Messor_wasmanni	14.7058894129086
Megalomyrmex_foreli	13.6626923029684
Myrmica_kotokui	11.8360462110676
Ocymyrmex_picardi	14.1483757777089
Leptothorax_sp	13.3044304008279
Strumigenys_ocypete	15.211353275838
Meranoplus_cf_radamae	13.1673918905234
Monomorium_latinode	14.4713078615715
Cardiocondyla_thoracica	14.2950706959335
Strumigenys_biolleyi	12.9239744224133
Stenamma_expolitum	13.9984168137504
Cardiocondyla_emeryi	13.1904353827216
Metapone_madagascarica	14.4133580258594
Orectognathus_versicolor	10.8393303687877
Meranoplus_castaneus	15.9422132329086
Bariamyrma_hispidula	13.2554931474299
Octostruma_EC01	16.3691092074219
Rogeria_nevadensis	17.9342687879493
Strongylognathus_testaceus	16.3496514408573
Tetramorium_kutteri	15.9452042652475
Lenomyrmex_colwelli	6.3097176798226
Perissomyrmex_snyderi	11.2422578364593
Lordomyrma_bhutanensis_cf	11.6355367053068
Royidris_longiseta	13.5998679143947
Pheidole_clydei	9.1173190179545
Malagidris_jugum	8.73494222907631
Nesomyrmex_echinatinodis	10.7429896466245
Cephalotes_texanus	13.1244848816584
Protalaridris_armata	14.6681779276465
Eurhopalothrix_australis	8.53671811147759
Podomyrma_silvicola	13.3366539814981
Cataulacus_sp	18.9736838494568
Dacatria_templaris	11.2864224414557
Terataner_MAD02	15.1202158688489
Propodilobus_pingorum	15.0742704577504
Mycetosoritis_hartmanni	9.94547472020886
Meranoplus_mayri	13.6017997968748
Cyatta_abscondita_GenBank	10.3257795470067
Strumigenys_maxillaris	7.74250493966713
Vombisidris_bilongrudi	12.7873802174998
Lordomyrma_desupra	7.76993329219293
Aphaenogaster_pythia	9.38768001828809
Sericomyrmex_sp	7.61250554057559
Meranoplus_radamae	7.98111950465154
Vollenhovia_emeryi	12.7508712429675
Strumigenys_ambatrix	9.74792212404068
Mesostruma_browni	10.4829522441499
Adelomyrmex_paratristani	16.517884878476
Kartidris_sparsipila	18.0743104230243
Lachnomyrmex_scrobiculatus	16.0477518283506
Carebara_sp	14.9490752867413
Rhopalomastix_rothneyi	17.1002048045891
Apterostigma_auriculatum	15.1252561762228
Veromessor_julianus	14.3220248897866
Pheidole_rhea	14.1843541724451
Acanthomyrmex_ferox	16.2283648356539
Strumigenys_rogeri	11.78749259048
Syllophopsis_sechellense	11.5459693640765
Trachymyrmex_arizonensis	17.9546578818775
